"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 26-Jun-2024","1W AGO 
 21-Jun-2024","1M AGO 
 28-May-2024","1Y AGO 
 28-Jun-2023","52W H 
","52W L 
","365 D % CHNG 
 28-Jun-2023","30 D % CHNG 
 28-May-2024"
"NIFTY 50","24,109.80","0.27","24,085.90","24,174.00","24,062.85","-","24,044.50","23,868.80","23,501.10","22,888.15","18,972.10","24,087.45","18,837.85","26.74","5.05"
"NIFTY NEXT 50","71,588.85","0.35","71,536.05","71,829.00","71,472.90","-","71,340.65","71,235.80","71,111.80","68,545.60","43,465.45","72,614.60","42,539.15","64.13","4.08"
"NIFTY 100","25,097.75","0.28","25,075.65","25,165.80","25,060.50","-","25,026.55","24,867.15","24,555.50","23,873.90","18,901.20","25,070.25","18,743.30","32.41","4.83"
"NIFTY 200","13,619.40","0.32","13,604.20","13,653.55","13,598.00","-","13,575.80","13,496.15","13,361.10","12,928.10","10,004.90","13,599.45","10,017.55","35.69","5.01"
"NIFTY 500","22,620.95","0.37","22,592.25","22,673.65","22,584.40","-","22,537.40","22,436.80","22,236.20","21,387.35","16,277.20","22,571.65","16,326.00","38.46","5.38"
"NIFTY MIDCAP 50","15,701.30","0.38","15,683.10","15,728.25","15,651.85","-","15,641.80","15,595.45","15,623.80","14,664.70","10,040.05","15,816.45","10,060.40","55.79","6.66"
"NIFTY MIDCAP 100","55,708.45","0.51","55,577.50","55,831.15","55,552.05","-","55,424.25","55,245.80","55,429.15","52,294.80","35,520.95","55,922.95","35,612.20","56.03","5.98"
"NIFTY SMALLCAP 100","18,338.45","0.95","18,263.15","18,379.40","18,259.60","-","18,165.00","18,288.00","18,235.05","16,875.60","10,791.35","18,437.65","10,817.55","68.33","7.64"
"INDIA VIX","13.93","-1.60","14.15","14.29","13.81","-","14.15","14.05","13.18","24.20","10.89","31.71","8.40","29.99","-41.51"
"NIFTY MIDCAP 150","20,824.90","0.49","20,788.20","20,869.45","20,782.65","-","20,723.15","20,680.70","20,735.25","19,474.95","13,316.45","20,922.90","13,352.65","55.62","6.41"
"NIFTY SMALLCAP 50","8,598.40","1.05","8,556.35","8,613.50","8,554.95","-","8,509.45","8,562.05","8,533.50","7,822.55","4,854.15","8,655.00","4,875.50","75.30","8.78"
"NIFTY SMALLCAP 250","17,136.05","0.80","17,079.90","17,172.45","17,076.05","-","16,999.55","17,095.70","17,046.55","15,773.05","10,493.30","17,219.05","10,529.45","62.00","7.78"
"NIFTY MIDSMALLCAP 400","19,535.55","0.60","19,490.60","19,571.50","19,486.70","-","19,418.75","19,431.85","19,445.05","18,167.30","12,306.35","19,624.95","12,344.75","57.79","6.89"
"NIFTY500 MULTICAP 50:25:25","15,781.20","0.46","15,754.45","15,815.95","15,750.75","-","15,708.25","15,675.20","15,580.45","14,819.80","10,807.90","15,765.25","5,531.55","45.34","6.00"
"NIFTY LARGEMIDCAP 250","15,782.40","0.39","15,761.55","15,815.65","15,756.90","-","15,721.50","15,656.75","15,584.45","14,881.50","10,931.55","15,752.20","5,635.20","43.82","5.64"
"NIFTY MIDCAP SELECT","12,243.75","-0.11","12,280.80","12,293.05","12,210.55","-","12,256.85","12,251.05","12,164.80","11,582.70","8,155.90","12,377.40","5,520.25","50.28","5.82"
"NIFTY TOTAL MARKET","12,727.45","0.38","12,711.85","12,757.15","12,707.60","-","12,679.35","12,629.60","12,517.00","12,012.60","9,090.15","12,697.85","6,252.10","39.48","5.55"
"NIFTY MICROCAP 250","23,044.00","0.62","23,041.05","23,116.35","22,981.65","-","22,902.70","23,153.45","22,963.30","20,712.80","13,056.60","23,315.55","5,802.95","75.41","10.57"
"NIFTY BANK","52,746.35","-0.12","52,874.95","53,030.30","52,674.90","-","52,811.30","52,870.50","51,661.45","49,142.15","44,327.80","53,180.75","42,105.40","19.14","7.47"
"NIFTY AUTO","25,206.55","0.06","25,160.55","25,239.90","25,119.65","-","25,191.40","25,018.90","25,092.30","23,814.25","14,840.55","25,991.45","14,884.35","69.75","5.78"
"NIFTY FINANCIAL SERVICES","23,591.25","-0.14","23,644.20","23,711.05","23,560.95","-","23,624.85","23,592.70","22,991.55","21,982.15","19,895.15","23,763.20","18,870.15","18.75","7.47"
"NIFTY FINANCIAL SERVICES 25/50","25,385.40","-0.16","25,431.85","25,519.30","25,364.85","-","25,427.25","25,370.80","24,752.65","23,892.50","19,967.50","-","-","27.34","6.42"
"NIFTY FMCG","56,948.95","0.49","56,709.10","57,007.45","56,560.35","-","56,670.60","56,465.20","55,990.10","55,271.95","51,893.40","58,832.65","50,607.00","9.21","2.53"
"NIFTY IT","36,236.00","0.31","36,154.20","36,334.65","36,041.20","-","36,123.70","35,406.55","35,200.30","33,880.85","28,842.95","38,559.85","28,957.15","25.24","6.62"
"NIFTY MEDIA","1,999.05","0.14","2,007.85","2,013.90","1,995.75","-","1,996.20","2,023.45","2,039.65","1,884.45","1,741.70","2,508.60","1,717.40","14.61","5.93"
"NIFTY METAL","9,833.20","0.67","9,793.50","9,889.25","9,784.65","-","9,767.40","9,714.30","9,990.90","9,815.05","6,211.05","10,195.60","6,186.45","57.26","-0.49"
"NIFTY PHARMA","19,740.40","1.16","19,557.65","19,797.90","19,555.65","-","19,514.80","19,545.35","19,528.40","19,215.75","13,622.75","19,927.90","13,578.35","43.25","1.56"
"NIFTY PSU BANK","7,418.55","1.60","7,327.40","7,508.75","7,325.80","-","7,301.40","7,368.85","7,384.25","7,361.10","4,027.35","8,053.30","4,047.30","81.30","-0.81"
"NIFTY PRIVATE BANK","26,271.05","-0.50","26,415.25","26,441.00","26,244.40","-","26,401.85","26,368.85","25,811.35","24,359.15","22,658.70","26,542.50","21,871.90","16.52","8.39"
"NIFTY REALTY","1,104.95","0.55","1,099.25","1,108.60","1,090.65","-","1,098.95","1,099.50","1,131.90","1,010.00","517.25","1,157.35","518.15","112.46","8.81"
"NIFTY HEALTHCARE INDEX","12,575.05","1.09","12,427.60","12,614.35","12,426.50","-","12,439.20","12,389.25","12,424.50","12,095.20","8,860.95","12,625.65","6,482.80","40.38","2.84"
"NIFTY CONSUMER DURABLES","38,364.65","0.29","38,300.05","38,559.65","38,250.90","-","38,254.35","38,239.30","38,161.90","35,511.45","27,024.50","38,727.40","14,089.55","41.55","7.72"
"NIFTY OIL & GAS","12,228.10","1.72","12,055.70","12,265.85","12,055.70","-","12,021.55","11,918.60","11,860.45","11,804.65","7,486.60","12,437.75","4,632.70","60.57","1.84"
"NIFTY MIDSMALL HEALTHCARE","35,609.75","0.93","35,172.35","35,752.35","35,170.25","-","35,280.40","35,208.25","35,663.30","34,244.60","-","36,164.30","20,019.15","-","3.02"
